err,data
4.3915563468729885e-10,3.6687310122628745e-10
3.8572507270849024e-10,-8.207364536418534e-11
3.2502703320863077e-10,9.282489101051013e-10
2.7791810507224533e-10,7.654061852589469e-10
2.4061699148087294e-10,2.5158349244650604e-10
2.0588116455860687e-10,1.8781860146769422e-10
1.7830921510834853e-10,1.9021572440110748e-10
1.5472685875554057e-10,6.96640376506852e-10
1.336151896199231e-10,5.878632906454761e-11
1.1660194940545728e-10,3.227602054461772e-10
1.0095453652059822e-10,2.405255107610205e-10
8.828785745477405e-11,1.214486985518759e-10
7.688258067952598e-11,7.734522115881196e-12
6.706423359821032e-11,1.433159032875135e-10
5.863729820967693e-11,7.556703506880915e-11
5.126586309415164e-11,-1.8140499477593457e-11
4.4869680166534107e-11,4.52609244832857e-11
3.934377391426528e-11,1.2899364067345158e-11
2.5134428529851063e-9,1.260261904295236e-8
1.3079541799100013e-9,6.470362804611981e-9
8.804364209540541e-10,3.024897798247734e-9
6.712608995891611e-10,1.7137415562806546e-9
5.515243288012019e-10,2.4097238280206777e-9
4.742094023417705e-10,6.06862436667358e-10
4.1989503542744556e-10,1.1603506714645705e-9
3.6419495755029446e-10,8.452784127527263e-10
3.035747295265078e-10,3.874079474790411e-10
2.5704641988569825e-10,8.02334497411005e-10
2.2062576359038058e-10,1.0944250780162285e-9
1.8734627367119192e-10,4.5820544207568233e-10
1.6116840489042755e-10,4.924816124971347e-10
1.3903011862449372e-10,4.618607273874415e-10
1.1943994706554458e-10,3.748573282585387e-10
1.0375285819402249e-10,3.447632514683574e-10
8.947554357494303e-11,2.555277867689456e-10
7.797934898535042e-11,2.3567086837489494e-10
6.77126810233467e-11,1.7827374951581148e-10
5.892947130650132e-11,2.0756486987964526e-10
5.143551320221988e-11,1.2170377955207424e-10
4.492108345351778e-11,1.2755406117552119e-10
3.9299347842614866e-11,5.7749789923718466e-11
3.446772411648922e-11,7.985596251142453e-11
2.7647362337186253e-9,1.3502568068216179e-8
1.4170553566971301e-9,7.898827810096413e-9
9.403082742807235e-10,3.7608400123748585e-9
7.088748486153892e-10,3.3712492982797742e-9
5.780858199549171e-10,2.1189028142623104e-9
4.95006600779482e-10,1.964020970257859e-9
4.373163578209566e-10,1.7872714629628467e-9
3.7878196224402587e-10,9.455908161161351e-10
3.1548579123906954e-10,1.3505025523161308e-9
2.6706428473785077e-10,9.76678668266455e-10
2.2925433313654143e-10,7.37136838109729e-10
1.9473824941310985e-10,4.171131592024861e-10
1.6761753956833253e-10,6.208736299984151e-10
1.4468711015537726e-10,2.8960858630690504e-10
1.2438007704519686e-10,3.5951599461196803e-10
1.0811547586361435e-10,3.8051312561474856e-10
9.328779724052535e-11,3.344255782035266e-10
8.13379896968041e-11,3.1064511904175157e-10
7.064441846925928e-11,1.5504224722829919e-10
6.148028880380077e-11,2.106944510540334e-10
5.364517209542003e-11,1.3027117417161139e-10
4.681814054102985e-11,1.61952508526493e-10
4.091360289871136e-11,6.244980399561634e-11
3.582817240198996e-11,1.0688160017350764e-10
4.327190147361123e-9,1.2865618569682674e-8
2.4210123940133904e-9,8.65288776036007e-9
1.706793359354719e-9,7.183842519207832e-9
1.3378721157491862e-9,2.092702595285802e-9
1.1181250248641337e-9,2.0093365846679035e-9
9.73637044770033e-10,4.221089477398791e-9
8.705342307040917e-10,1.8975681661461635e-9
7.606987091042123e-10,1.1131000049566575e-9
6.381593097720042e-10,2.59940776547156e-9
5.43553363298449e-10,8.909477330900632e-10
4.690474718762249e-10,8.60086356442886e-10
4.0022417442852286e-10,6.982522185698896e-10
3.458446325573107e-10,-1.6863476005400308e-10
2.995701336615181e-10,3.715784037645668e-10
2.583386319511808e-10,4.737458899576856e-10
2.2521168659461035e-10,8.27594560926968e-10
1.9486399935909518e-10,5.318332277673948e-10
1.7035078978996461e-10,3.860067333751191e-10
1.4834510485627985e-10,4.674884118894536e-10
1.294494296623639e-10,3.737344096265107e-10
1.1326583675735858e-10,8.676072775051082e-11
9.914591836291556e-11,2.8609099937088954e-10
8.692738474152601e-11,2.0381853638647756e-10
7.639933688384686e-11,1.2493271614464064e-10
