pairs
"[""DESgc__0"", ""DESgc__0""]"
"[""DESgc__1"", ""DESgc__1""]"
"[""DESgc__2"", ""DESgc__2""]"
"[""DESgc__3"", ""DESgc__3""]"
"[""DESgc__4"", ""DESgc__4""]"
"[""DESgc__0"", ""DESwl__0""]"
"[""DESgc__0"", ""DESwl__1""]"
"[""DESgc__0"", ""DESwl__2""]"
"[""DESgc__0"", ""DESwl__3""]"
"[""DESgc__1"", ""DESwl__0""]"
"[""DESgc__1"", ""DESwl__1""]"
"[""DESgc__1"", ""DESwl__2""]"
"[""DESgc__1"", ""DESwl__3""]"
"[""DESgc__2"", ""DESwl__0""]"
"[""DESgc__2"", ""DESwl__1""]"
"[""DESgc__2"", ""DESwl__2""]"
"[""DESgc__2"", ""DESwl__3""]"
"[""DESgc__3"", ""DESwl__0""]"
"[""DESgc__3"", ""DESwl__1""]"
"[""DESgc__3"", ""DESwl__2""]"
"[""DESgc__3"", ""DESwl__3""]"
"[""DESgc__4"", ""DESwl__0""]"
"[""DESgc__4"", ""DESwl__1""]"
"[""DESgc__4"", ""DESwl__2""]"
"[""DESgc__4"", ""DESwl__3""]"
"[""DESwl__0"", ""DESwl__0""]"
"[""DESwl__0"", ""DESwl__1""]"
"[""DESwl__0"", ""DESwl__2""]"
"[""DESwl__0"", ""DESwl__3""]"
"[""DESwl__1"", ""DESwl__1""]"
"[""DESwl__1"", ""DESwl__2""]"
"[""DESwl__1"", ""DESwl__3""]"
"[""DESwl__2"", ""DESwl__2""]"
"[""DESwl__2"", ""DESwl__3""]"
"[""DESwl__3"", ""DESwl__3""]"
